Sanguine,description,This temperament is associated with extroverts, talkative characters, and optimists. These characters have appealing personalities and are the life of any party. They have good senses of humor and are usually gifted at Storytelling. Sanguine characters are enthusiastic, expressive, and emotional. Wide-eyed, innocent, and curious, these characters live in the present and are always sincere at heart. Sanguine characters manage to find the humor in disasters, are always cheery, and are liked by others. Creative and colorful, these characters look great on the surface and have energy and enthusiasm in all that they do. Thriving on compliments, sanguine characters make friends easily and love others. These characters seek to prevent dull moments by providing excitement, and they never hold grudges. Sanguine characters are compulsive talkers with loud voices. Remembering names is difficult for these characters, and they are prone to complaining. It is possible these characters appear too happy to others and, seeming fake, scare them away. Driven by their inner child, sanguine characters are naïve and easily get angry. Sanguine characters are disorganized and would rather talk than act. Further, they often forget obligations, have fading confidence, and are undisciplined. Many decisions are based upon feelings. Hating to be alone and needing attention, these characters seek center stage by dominating conversations and energetically interrupting others. These characters often make excuses and have a tendency to repeat stories.
Sanguine,strength,Appealing personality
Sanguine,strength,Talkative
Sanguine,strength,Good Sense of Humor
Sanguine,strength,Enthusiastic
Sanguine,strength,Cheerful
Sanguine,strength,Curious
Sanguine,strength,Sincere
Sanguine,strength,Turns disaster into humor
Sanguine,strength,Volunteers for jobs
Sanguine,strength,Creative and colorful
Sanguine,strength,Easily inspires others
Sanguine,strength,Easily makes friends
Sanguine,strength,Loves characters
Sanguine,strength,Thrives on compliments
Sanguine,strength,Envied by others
Sanguine,strength,Doesn't hold grudges
Sanguine,strength,Apologizes quickly
Sanguine,strength,Spontaneous
Sanguine,weakness,Compulsive talker
Sanguine,weakness,Exaggerates
Sanguine,weakness,Elaborates
Sanguine,weakness,Dwells on trivia
Sanguine,weakness,Cannot remember names
Sanguine,weakness,Scares others away
Sanguine,weakness,Too happy for some
Sanguine,weakness,Restless energy
Sanguine,weakness,Egotistical
Sanguine,weakness,Complains
Sanguine,weakness,Controlled by circumstances
Sanguine,weakness,Seems phony
Sanguine,weakness,Never matures
Sanguine,weakness,Doesn't follow through
Sanguine,weakness,Undisciplined
Sanguine,weakness,Decides by feelings
Sanguine,weakness,Easily distracted
Sanguine,weakness,Hates to be alone
Sanguine,weakness,Needs center stage
Sanguine,weakness,Wants to be popular
Sanguine,weakness,Dominates conversations
Sanguine,weakness,Interrupts
Sanguine,weakness,Doesn’t listen

Choleric,description,This temperament is associated with extroverts, doers, and optimists. Born leaders, choleric characters are active and have a compulsive need for change. Driven to correct wrongs, they are not discouraged easily and may be unemotional. These characters exude confidence, are strong-willed, and decisive. This temperament causes characters to be organized and task-oriented. Insisting on the productivity of others, these characters seek practical solutions to problems and move quickly to action. Thriving on opposition, these characters have little need for friends or groups and excel during emergencies. Unfortunately, choleric characters may be bossy, impatient, quick-tempered, unable to relax, and refuse to give up even when clearly losing. These characters are too intense, come on too strong, and are inflexible and uncomplimentary. Choleric characters dislike tears and emotions, and are generally unsympathetic. These characters give answers too quickly, dominate more than is good, and are often too busy for their families. Also, choleric characters are impatient with poor performance and have little tolerance for mistakes. Choleric characters are often rude, tactless, and manipulate others. Though these characters may often be right, which they always insist upon, this also makes them unpopular with others.
Choleric,strength,Born leader
Choleric,strength,Dynamic & active
Choleric,strength,Compulsive need to change
Choleric,strength,Must correct wrongs
Choleric,strength,Strong-willed
Choleric,strength,Decisive
Choleric,strength,Unemotional
Choleric,strength,Not easily discouraged
Choleric,strength,Independent
Choleric,strength,Self-sufficient
Choleric,strength,Confident
Choleric,strength,Can run anything
Choleric,strength,Goal-oriented
Choleric,strength,Sees the whole picture
Choleric,strength,Organizes well
Choleric,strength,Seeks practical solutions
Choleric,strength,Moves quickly to action
Choleric,strength,Delegates work
Choleric,strength,Insists on production
Choleric,strength,Stimulates activity
Choleric,strength,Thrives on opposition
Choleric,strength,Has little need for friends
Choleric,strength,Will lead and organize
Choleric,strength,Is usually right
Choleric,strength,Excels in emergencies
Choleric,weakness,Bossy
Choleric,weakness,Impatient
Choleric,weakness,Cannot relax
Choleric,weakness,Enjoys controversy
Choleric,weakness,Argumentative
Choleric,weakness,Won’t give up if losing
Choleric,weakness,Comes on too strong
Choleric,weakness,Inflexible
Choleric,weakness,Dislikes emotions
Choleric,weakness,Little tolerance for mistakes
Choleric,weakness,Unsympathetic
